Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,14.365000,14.420000,14.340000,14.409000,14.409000,156
2019-05-21,14.405000,14.405000,14.325000,14.373000,14.373000,13
2019-05-22,14.400000,14.425000,14.390000,14.414000,14.414000,49
2019-05-23,14.545000,14.577000,14.540000,14.577000,14.577000,105
2019-05-24,14.550000,14.550000,14.520000,14.520000,14.520000,4
2019-05-26,null,null,null,null,null,null
2019-05-28,14.300000,14.310000,14.245000,14.281000,14.281000,17
2019-05-29,14.372000,14.372000,14.372000,14.372000,14.372000,73
2019-05-30,14.355000,14.485000,14.305000,14.460000,14.460000,258
2019-05-31,14.465000,14.540000,14.465000,14.530000,14.530000,136
2019-06-02,null,null,null,null,null,null
2019-06-03,14.720000,14.720000,14.703000,14.703000,14.703000,62
2019-06-04,14.750000,14.750000,14.732000,14.732000,14.732000,3
2019-06-05,15.000000,15.000000,14.754000,14.754000,14.754000,2
2019-06-06,14.890000,14.890000,14.868000,14.868000,14.868000,50
2019-06-07,15.000000,15.125000,14.994000,14.994000,14.994000,1
2019-06-09,null,null,null,null,null,null
2019-06-10,14.605000,14.605000,14.605000,14.605000,14.605000,4
2019-06-11,14.706000,14.706000,14.706000,14.706000,14.706000,0
2019-06-12,14.722000,14.722000,14.722000,14.722000,14.722000,0
2019-06-13,14.871000,14.871000,14.871000,14.871000,14.871000,0
2019-06-14,14.782000,14.782000,14.782000,14.782000,14.782000,1
2019-06-16,null,null,null,null,null,null
2019-06-17,14.814000,14.814000,14.814000,14.814000,14.814000,240
2019-06-18,14.980000,14.980000,14.980000,14.980000,14.980000,3
2019-06-19,14.945000,14.945000,14.945000,14.945000,14.945000,1
2019-06-20,15.469000,15.469000,15.469000,15.469000,15.469000,0
2019-06-21,15.295000,15.305000,15.260000,15.273000,15.273000,103
2019-06-23,null,null,null,null,null,null
2019-06-24,15.368000,15.368000,15.368000,15.368000,15.368000,4
2019-06-25,15.291000,15.291000,15.291000,15.291000,15.291000,24
2019-06-26,15.283000,15.283000,15.283000,15.283000,15.283000,0
2019-06-27,15.275000,15.275000,15.120000,15.205000,15.205000,93664
2019-06-28,15.220000,15.295000,15.180000,15.253000,15.253000,21835
2019-06-30,null,null,null,null,null,null
2019-07-01,15.170000,15.245000,15.075000,15.106000,15.106000,842
2019-07-02,15.125000,15.200000,14.995000,15.154000,15.154000,227
2019-07-03,null,null,null,null,null,null
2019-07-05,15.245000,15.250000,14.885000,14.918000,14.918000,12
2019-07-07,null,null,null,null,null,null
2019-07-08,14.965000,15.060000,14.925000,14.972000,14.972000,107
2019-07-09,15.045000,15.068000,15.045000,15.068000,15.068000,23
2019-07-10,15.055000,15.147000,15.000000,15.147000,15.147000,1
2019-07-11,15.225000,15.230000,15.067000,15.067000,15.067000,5
2019-07-12,15.075000,15.185000,15.055000,15.161000,15.161000,36
2019-07-14,null,null,null,null,null,null
2019-07-15,15.260000,15.290000,15.260000,15.290000,15.290000,7
2019-07-16,15.295000,15.645000,15.295000,15.600000,15.600000,16
2019-07-17,15.730000,15.893000,15.730000,15.893000,15.893000,41
2019-07-18,15.980000,16.120001,15.980000,16.120001,16.120001,85
2019-07-19,16.275000,16.504999,16.117001,16.117001,16.117001,61
2019-07-21,null,null,null,null,null,null
2019-07-22,16.295000,16.340000,16.290001,16.340000,16.340000,68
2019-07-23,16.405001,16.405001,16.405001,16.405001,16.405001,161
2019-07-24,16.299999,16.554001,16.299999,16.554001,16.554001,73
2019-07-25,16.400000,16.415001,16.339001,16.339001,16.339001,45
2019-07-26,16.420000,16.424999,16.325001,16.325001,16.325001,64
2019-07-28,null,null,null,null,null,null
2019-07-29,16.368000,16.368000,16.368000,16.368000,16.368000,25
2019-07-30,16.370001,16.549999,16.370001,16.495001,16.495001,446
2019-07-31,16.510000,16.510000,16.219999,16.346001,16.346001,331
2019-08-01,16.105000,16.299999,15.895000,16.121000,16.121000,224
2019-08-02,16.135000,16.222000,16.059999,16.222000,16.222000,74
2019-08-04,null,null,null,null,null,null
2019-08-05,16.150000,16.434999,16.125000,16.344999,16.344999,78
2019-08-06,16.405001,16.405001,16.405001,16.405001,16.405001,79
2019-08-07,17.156000,17.156000,17.156000,17.156000,17.156000,54
2019-08-08,16.900999,16.900999,16.900999,16.900999,16.900999,89
2019-08-09,16.896999,16.896999,16.896999,16.896999,16.896999,157
2019-08-11,null,null,null,null,null,null
2019-08-12,16.875000,17.039000,16.860001,17.039000,17.039000,91
2019-08-13,17.309999,17.315001,16.955999,16.955999,16.955999,121
2019-08-14,17.253000,17.253000,17.253000,17.253000,17.253000,22
2019-08-15,17.188000,17.188000,17.188000,17.188000,17.188000,48
2019-08-16,17.096001,17.096001,17.096001,17.096001,17.096001,47
2019-08-18,null,null,null,null,null,null
2019-08-19,16.914000,16.914000,16.914000,16.914000,16.914000,0
2019-08-20,17.065001,17.122000,17.065001,17.122000,17.122000,1
2019-08-21,17.125000,17.125000,17.120001,17.125000,17.125000,4
2019-08-22,17.014000,17.014000,17.014000,17.014000,17.014000,2
2019-08-23,17.395000,17.395000,17.395000,17.395000,17.395000,0
2019-08-25,null,null,null,null,null,null
2019-08-26,17.540001,17.624001,17.540001,17.624001,17.624001,0
2019-08-27,18.139000,18.139000,18.139000,18.139000,18.139000,4
2019-08-28,18.240000,18.304001,18.235001,18.304001,18.304001,2
2019-08-29,18.299999,18.615000,17.985001,18.167000,18.167000,97738
2019-08-30,18.195000,18.410000,18.020000,18.184999,18.184999,22272
2019-09-01,null,null,null,null,null,null
2019-09-03,18.450001,19.225000,18.250000,19.079000,19.079000,1479
2019-09-04,19.215000,19.540001,19.215000,19.391001,19.391001,828
2019-09-05,19.485001,19.485001,18.424999,18.656000,18.656000,462
2019-09-06,18.629999,18.684999,17.968000,17.968000,17.968000,386
2019-09-08,null,null,null,null,null,null
2019-09-09,18.205000,18.205000,17.950001,18.018999,18.018999,343
2019-09-10,17.770000,18.084999,17.770000,18.041000,18.041000,517
