Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,49.415001,49.994999,48.950001,49.224998,46.271351,6889953
2019-05-21,49.474998,49.799999,49.235001,49.764999,46.778950,5670628
2019-05-22,49.500000,49.599998,48.799999,49.005001,46.064552,5875158
2019-05-23,48.360001,48.494999,47.294998,47.389999,44.546459,7811701
2019-05-24,47.669998,48.044998,47.325001,47.555000,44.701557,5717165
2019-05-27,48.000000,48.080002,47.810001,47.849998,44.978855,2927814
2019-05-28,48.000000,48.145000,47.520000,47.520000,44.668659,8622164
2019-05-29,47.169998,47.290001,46.430000,46.834999,44.024761,6938653
2019-05-30,47.340000,47.615002,46.750000,46.840000,44.029461,3600086
2019-05-31,46.250000,46.639999,46.009998,46.639999,43.841461,7720273
2019-06-03,46.105000,46.935001,45.959999,46.709999,43.907261,5637607
2019-06-04,46.435001,47.270000,46.294998,47.220001,44.386665,6313093
2019-06-05,47.105000,47.240002,46.669998,46.875000,44.062355,5432624
2019-06-06,46.895000,47.485001,46.895000,47.240002,44.405457,5689629
2019-06-07,47.455002,48.020000,47.365002,47.794998,44.927158,5916268
2019-06-10,48.000000,48.270000,47.950001,48.250000,45.354855,3300164
2019-06-11,47.935001,48.555000,47.755001,48.270000,45.983593,7268737
2019-06-12,47.744999,47.985001,46.950001,46.950001,44.726116,7951966
2019-06-13,46.939999,47.450001,46.830002,46.980000,44.754700,5782706
2019-06-14,47.119999,47.334999,46.785000,47.250000,45.011906,5936906
2019-06-17,47.310001,47.365002,46.860001,47.150002,44.916645,5242045
2019-06-18,47.180000,48.349998,47.130001,48.189999,45.907379,8704242
2019-06-19,48.334999,48.400002,48.105000,48.314999,46.026463,6519823
2019-06-20,48.900002,49.240002,48.654999,48.689999,46.383701,8976976
2019-06-21,48.615002,49.720001,48.549999,49.115002,46.788574,15533206
2019-06-24,49.075001,49.465000,48.869999,49.000000,46.679016,4530139
2019-06-25,48.900002,49.259998,48.820000,48.945000,46.626617,3867344
2019-06-26,49.049999,49.750000,49.029999,49.520000,47.174385,5371571
2019-06-27,49.349998,49.590000,49.060001,49.125000,46.798096,3827552
2019-06-28,49.020000,49.369999,48.764999,49.275002,46.940990,5655684
2019-07-01,49.959999,49.959999,49.500000,49.775002,47.417309,3973735
2019-07-02,49.775002,49.985001,49.549999,49.590000,47.241070,4113489
2019-07-03,49.375000,49.669998,48.814999,49.115002,46.788574,4924022
2019-07-04,49.200001,49.610001,49.080002,49.455002,47.112465,2420813
2019-07-05,49.445000,49.590000,49.160000,49.415001,47.074360,3909241
2019-07-08,49.384998,49.785000,49.275002,49.700001,47.345860,2708969
2019-07-09,49.665001,49.759998,49.235001,49.509998,47.164856,3263901
2019-07-10,49.645000,50.130001,49.610001,49.759998,47.403011,3970043
2019-07-11,50.299999,50.669998,49.860001,49.860001,47.498280,2977040
2019-07-12,50.200001,50.200001,49.755001,49.869999,47.507805,2825479
2019-07-15,50.200001,50.299999,49.840000,50.090000,47.717384,3204404
2019-07-16,49.955002,50.130001,49.674999,49.965000,47.598305,3581400
2019-07-17,49.439999,49.439999,48.549999,48.590000,46.288441,5876465
2019-07-18,48.575001,48.580002,47.830002,48.029999,45.754963,5421143
2019-07-19,48.334999,48.665001,47.849998,48.200001,45.916908,4474246
2019-07-22,48.465000,48.654999,48.195000,48.195000,45.912144,4423753
2019-07-23,48.500000,49.060001,48.305000,48.860001,46.545647,4403187
2019-07-24,48.619999,48.820000,48.060001,48.450001,46.155071,4546048
2019-07-25,48.790001,48.935001,47.599998,47.919998,45.650166,6570367
2019-07-26,48.119999,48.525002,47.805000,48.029999,45.754963,3793831
2019-07-29,48.009998,48.525002,47.845001,48.060001,45.783539,3352310
2019-07-30,48.279999,48.455002,47.095001,47.235001,44.997620,5705995
2019-07-31,47.230000,47.535000,46.955002,47.035000,44.807091,5292803
2019-08-01,46.730000,46.930000,46.270000,46.549999,44.345066,5688453
2019-08-02,46.000000,46.000000,44.700001,44.730000,42.611271,11045649
2019-08-05,44.400002,44.455002,43.720001,44.134998,42.044456,9066799
2019-08-06,44.134998,44.325001,43.465000,43.544998,41.482399,6694060
2019-08-07,43.764999,43.880001,42.650002,43.180000,41.134693,8348785
2019-08-08,43.955002,44.040001,43.360001,43.910000,41.830112,6662828
2019-08-09,44.000000,44.035000,43.349998,43.490002,41.430008,4907618
2019-08-12,43.610001,43.884998,43.154999,43.230000,41.182323,4034879
2019-08-13,43.380001,44.689999,43.270000,44.220001,42.125431,8506077
2019-08-14,44.215000,44.279999,43.224998,43.639999,41.572899,7469377
2019-08-15,43.735001,43.735001,42.755001,43.299999,41.249004,7646285
2019-08-16,43.424999,43.605000,43.084999,43.235001,41.187088,6843039
